setting,classifier,split,accuracy,precision_metaphor,recall_metaphor,f1_metaphor,macro_f1,majority_baseline_accuracy,n_train,n_test,test_lemmas
L2,Logistic Regression,0,0.5942982456140351,0.5489130434782609,0.4975369458128079,0.5219638242894057,0.5847914359542267,0.5548245614035088,1149,456,50
L2,Linear SVM,0,0.5964912280701754,0.5497382198952879,0.5172413793103449,0.5329949238578681,0.5888912843227565,0.5548245614035088,1149,456,50
L2,Logistic Regression,1,0.663013698630137,0.611764705882353,0.6459627329192547,0.6283987915407855,0.660064057424528,0.5589041095890411,1240,365,50
L2,Linear SVM,1,0.6547945205479452,0.5988700564971752,0.6583850931677019,0.6272189349112426,0.6528951817413355,0.5589041095890411,1240,365,50
L2,Logistic Regression,2,0.6220806794055201,0.5786802030456852,0.5454545454545454,0.5615763546798029,0.6147434012204984,0.5562632696390658,1134,471,50
L2,Linear SVM,2,0.6242038216560509,0.5754716981132075,0.583732057416268,0.5795724465558195,0.6199205802836679,0.5562632696390658,1134,471,50
L2,Logistic Regression,3,0.5640326975476839,0.47398843930635837,0.543046357615894,0.5061728395061729,0.5579644685335743,0.5885558583106267,1238,367,50
L2,Linear SVM,3,0.553133514986376,0.46153846153846156,0.5165562913907285,0.4875,0.5456823671497585,0.5885558583106267,1238,367,50
L2,Logistic Regression,4,0.569620253164557,0.544,0.6017699115044248,0.5714285714285714,0.5696125907990315,0.5232067510548524,1131,474,50
L2,Linear SVM,4,0.5485232067510548,0.524390243902439,0.5707964601769911,0.5466101694915254,0.5485151687793761,0.5232067510548524,1131,474,50
Mean-centered + L2,Logistic Regression,0,0.5964912280701754,0.5519125683060109,0.4975369458128079,0.5233160621761658,0.5867530881223034,0.5548245614035088,1149,456,50
Mean-centered + L2,Linear SVM,0,0.5855263157894737,0.5372340425531915,0.4975369458128079,0.5166240409207161,0.5769300626868457,0.5548245614035088,1149,456,50
Mean-centered + L2,Logistic Regression,1,0.6493150684931507,0.5953757225433526,0.639751552795031,0.6167664670658682,0.6467670719167725,0.5589041095890411,1240,365,50
Mean-centered + L2,Linear SVM,1,0.6547945205479452,0.6023391812865497,0.639751552795031,0.6204819277108434,0.6519495065689895,0.5589041095890411,1240,365,50
Mean-centered + L2,Logistic Regression,2,0.6199575371549894,0.5757575757575758,0.5454545454545454,0.5601965601965602,0.6128085604721119,0.5562632696390658,1134,471,50
Mean-centered + L2,Linear SVM,2,0.6326963906581741,0.5841121495327103,0.5980861244019139,0.5910165484633569,0.6288416075650118,0.5562632696390658,1134,471,50
Mean-centered + L2,Logistic Regression,3,0.5613079019073569,0.47093023255813954,0.5364238410596026,0.5015479876160991,0.554910246849412,0.5885558583106267,1238,367,50
Mean-centered + L2,Linear SVM,3,0.5395095367847411,0.44642857142857145,0.4966887417218543,0.4702194357366771,0.5314952600370133,0.5885558583106267,1238,367,50
Mean-centered + L2,Logistic Regression,4,0.5717299578059072,0.5454545454545454,0.6106194690265486,0.5762004175365344,0.571682298320506,0.5232067510548524,1131,474,50
Mean-centered + L2,Linear SVM,4,0.5632911392405063,0.5381526104417671,0.5929203539823009,0.5642105263157895,0.5632891955046178,0.5232067510548524,1131,474,50
Remove PC1 + L2,Logistic Regression,0,0.5921052631578947,0.546448087431694,0.49261083743842365,0.5181347150259067,0.5822612738627633,0.5548245614035088,1149,456,50
Remove PC1 + L2,Linear SVM,0,0.5877192982456141,0.5405405405405406,0.49261083743842365,0.5154639175257731,0.5783426457857873,0.5548245614035088,1149,456,50
Remove PC1 + L2,Logistic Regression,1,0.6438356164383562,0.591715976331361,0.6211180124223602,0.6060606060606061,0.6405303030303031,0.5589041095890411,1240,365,50
Remove PC1 + L2,Linear SVM,1,0.6602739726027397,0.6134969325153374,0.6211180124223602,0.6172839506172839,0.6559326157027306,0.5589041095890411,1240,365,50
Remove PC1 + L2,Logistic Regression,2,0.6220806794055201,0.5771144278606966,0.5550239234449761,0.5658536585365853,0.6156335961855859,0.5562632696390658,1134,471,50
Remove PC1 + L2,Linear SVM,2,0.6305732484076433,0.5821596244131455,0.5933014354066986,0.5876777251184834,0.6265311702515494,0.5562632696390658,1134,471,50
Remove PC1 + L2,Logistic Regression,3,0.555858310626703,0.4647058823529412,0.5231788079470199,0.49221183800623053,0.5487693572597738,0.5885558583106267,1238,367,50
Remove PC1 + L2,Linear SVM,3,0.5504087193460491,0.4583333333333333,0.5099337748344371,0.4827586206896552,0.542584129621936,0.5885558583106267,1238,367,50
Remove PC1 + L2,Logistic Regression,4,0.5717299578059072,0.5465587044534413,0.5973451327433629,0.5708245243128964,0.5717280516301324,0.5232067510548524,1131,474,50
Remove PC1 + L2,Linear SVM,4,0.5717299578059072,0.5469387755102041,0.5929203539823009,0.5690021231422505,0.5717128016130539,0.5232067510548524,1131,474,50
